col1,col2,col3,col4,col5,col6,col7,col8
650,94,0,2023-10-15,0,0,0,0
651,94,1,2023-10-16,669,96,5,2021-11-05
652,94,2,2023-10-17,464,67,3,2021-04-14
653,94,3,2023-10-18,465,67,4,2021-04-15
654,94,4,2023-10-19,466,67,5,2021-04-16
655,94,5,2023-10-20,467,67,6,2021-04-17
656,94,6,2023-10-21,469,68,1,2021-04-19
657,95,0,2023-10-22,0,0,0,0
658,95,1,2023-10-23,698,100,6,2021-12-04
659,95,2,2023-10-24,700,101,1,2021-12-06
660,95,3,2023-10-25,701,101,2,2021-12-07
661,95,4,2023-10-26,702,101,3,2021-12-08
662,95,5,2023-10-27,703,101,4,2021-12-09
663,95,6,2023-10-28,704,101,5,2021-12-10
664,96,0,2023-10-29,0,0,0,0
665,96,1,2023-10-30,480,69,5,2021-04-30
666,96,2,2023-10-31,481,69,6,2021-05-01
667,96,3,2023-11-01,483,70,1,2021-05-03
668,96,4,2023-11-02,484,70,2,2021-05-04
669,96,5,2023-11-03,485,70,3,2021-05-05
670,96,6,2023-11-04,486,70,4,2021-05-06
671,97,0,2023-11-05,0,0,0,0
672,97,1,2023-11-06,470,68,2,2021-04-20
673,97,2,2023-11-07,471,68,3,2021-04-21
674,97,3,2023-11-08,472,68,4,2021-04-22
675,97,4,2023-11-09,473,68,5,2021-04-23
676,97,5,2023-11-10,474,68,6,2021-04-24
677,97,6,2023-11-11,476,69,1,2021-04-26
678,98,0,2023-11-12,0,0,0,0
679,98,1,2023-11-13,477,69,2,2021-04-27
680,98,2,2023-11-14,478,69,3,2021-04-28
681,98,3,2023-11-15,479,69,4,2021-04-29
682,98,4,2023-11-16,705,101,6,2021-12-11
683,98,5,2023-11-17,707,102,1,2021-12-13
684,98,6,2023-11-18,487,70,5,2021-05-07
685,99,0,2023-11-19,0,0,0,0
686,99,1,2023-11-20,488,70,6,2021-05-08
687,99,2,2023-11-21,490,71,1,2021-05-10
688,99,3,2023-11-22,491,71,2,2021-05-11
689,99,4,2023-11-23,492,71,3,2021-05-12
690,99,5,2023-11-24,493,71,4,2021-05-13
691,99,6,2023-11-25,494,71,5,2021-05-14
692,100,0,2023-11-26,0,0,0,0
693,100,1,2023-11-27,495,71,6,2021-05-15
694,100,2,2023-11-28,497,72,1,2021-05-17
695,100,3,2023-11-29,498,72,2,2021-05-18
696,100,4,2023-11-30,499,72,3,2021-05-19
697,100,5,2023-12-01,500,72,4,2021-05-20
698,100,6,2023-12-02,501,72,5,2021-05-21
699,101,0,2023-12-03,0,0,0,0
700,101,1,2023-12-04,502,72,6,2021-05-22
701,101,2,2023-12-05,504,73,1,2021-05-24
702,101,3,2023-12-06,505,73,2,2021-05-25
703,101,4,2023-12-07,506,73,3,2021-05-26
704,101,5,2023-12-08,507,73,4,2021-05-27
705,101,6,2023-12-09,508,73,5,2021-05-28
706,102,0,2023-12-10,0,0,0,0
707,102,1,2023-12-11,509,73,6,2021-05-29
708,102,2,2023-12-12,708,102,2,2021-12-14
709,102,3,2023-12-13,709,102,3,2021-12-15
710,102,4,2023-12-14,710,102,4,2021-12-16
711,102,5,2023-12-15,711,102,5,2021-12-17
712,102,6,2023-12-16,712,102,6,2021-12-18
713,103,0,2023-12-17,0,0,0,0
714,103,1,2023-12-18,714,103,1,2021-12-20
715,103,2,2023-12-19,715,103,2,2021-12-21
716,103,3,2023-12-20,716,103,3,2021-12-22
717,103,4,2023-12-21,717,103,4,2021-12-23
718,103,5,2023-12-22,718,103,5,2021-12-24
719,103,6,2023-12-23,719,103,6,2021-12-25
720,104,0,2023-12-24,0,0,0,0
721,104,1,2023-12-25,721,104,1,2021-12-27
722,104,2,2023-12-26,722,104,2,2021-12-28
723,104,3,2023-12-27,723,104,3,2021-12-29
724,104,4,2023-12-28,724,104,4,2021-12-30
725,104,5,2023-12-29,725,104,5,2021-12-31
